DATE,STATION,LATITUDE,LONGITUDE,ENTRIES_DIFF,EXITS_DIFF,LINENAME,UNIT
2019-12-28,20 AVE,40.617373,-73.985088,2173,1558,N,R393
2019-12-28,207 ST,40.864653,-73.918719,3963,1975,1,R037
2019-12-28,21 ST,40.754100,-73.942580,7434,5439,F,R303
2019-12-28,215 ST,40.869359,-73.915329,837,405,1,R038
2019-12-28,219 ST,40.883767,-73.862736,1596,857,25,R365
2019-12-28,22 AVE-BAY PKY,40.620907,-73.975453,570,163,F,R422
2019-12-28,225 ST,40.887887,-73.860505,1961,1068,25,R366
2019-12-28,23 ST,40.740088,-73.986429,29520,29336,6,R131
2019-12-28,23 ST,40.744071,-73.995624,13684,11162,1,R190
2019-12-28,23 ST,40.745924,-73.998005,20001,17586,CE,R111
2019-12-28,23 ST-5 AVE,40.741006,-73.989315,23438,15242,NR,R083
2019-12-28,23 ST-6 AVE,40.742868,-73.992770,8722,6066,FM,R203
2019-12-28,23 ST-6 AVE,40.742981,-73.992727,6087,8286,FM,R453
2019-12-28,231 ST,40.878867,-73.904858,5441,773,1,R040
2019-12-28,233 ST,40.893386,-73.857265,2338,831,25,R367
2019-12-28,238 ST,40.884821,-73.900759,2341,88,1,R306
2019-12-28,242 ST,40.889185,-73.898549,3803,1775,1,R117
2019-12-28,25 AVE,40.597873,-73.986955,2552,661,D,R399
2019-12-28,25 ST,40.660430,-73.997944,402,1048,R,R455
2019-12-28,25 ST,40.660481,-73.998059,1602,627,R,R278
2019-12-28,28 ST,40.743095,-73.984251,19980,21513,6,R143
2019-12-28,28 ST,40.747224,-73.993360,10870,7704,1,R272
2019-12-28,28 ST-BROADWAY,40.745574,-73.988682,14316,18470,NR,R082
2019-12-28,3 AVE,40.733243,-73.987169,3642,4054,L,R330
